id,name,state_id,lat,lng
646,Satara,27,16.86,74.57
647,Shahada,27,17.7,74
648,Shegaon,27,21.55,74.47
649,Shirpur,27,20.78,76.68
650,Sholapur,27,21.35,74.88
651,Shrirampur,27,17.67,75.89
652,Sillod,27,19.63,74.64
653,Thane,27,20.3,75.65
654,Udgir,27,19.2,72.97
655,Ulhasnagar,27,18.4,77.11
656,Uran Islampur,27,19.23,73.15
657,Vasai,27,17.05,74.27
658,Virar,27,19.36,72.8
659,Wadi,27,19.47,72.79
660,Wani,27,,
661,Wardha,27,20.07,78.95
662,Warud,27,20.75,78.6
663,Washim,27,21.47,78.27
664,Yavatmal,27,20.1,77.13
665,Imphal,14,20.41,78.13
666,Shillong,17,24.79,93.94
667,Tura,17,25.57,91.87
668,Aizawl,15,25.52,90.22
669,Lunglei,15,23.71,92.71
670,Dimapur,13,22.88,92.73
671,Kohima,13,25.92,93.73
672,Wokha,13,25.67,94.11
673,Balangir,21,26.1,94.27
674,Baleshwar,21,20.71,83.5
675,Barbil,21,21.49,86.95
676,Bargarh,21,22.12,85.4
677,Baripada,21,21.34,83.61
678,Bhadrak,21,21.95,86.73
679,Bhawanipatna,21,21.06,86.52
680,Bhubaneswar,21,19.91,83.17
681,Brahmapur,21,20.27,85.84
682,Brajrajnagar,21,19.32,84.8
683,Dhenkanal,21,21.82,83.91
684,Jaypur,21,20.67,85.6
685,Jharsuguda,21,18.86,82.56
686,Kataka,21,21.87,84.01
687,Kendujhar,21,20.47,85.88
688,Paradwip,21,21.63,85.58
689,Puri,21,20.32,86.62
690,Raurkela,21,19.81,85.83
691,Raurkela Industrial Township,21,22.24,84.81
692,Rayagada,21,,
693,Sambalpur,21,19.18,83.41
694,Sunabeda,21,21.47,83.97
695,Karaikal,34,18.69,82.86
696,Ozhukarai,34,10.93,79.83
697,Puducherry,34,11.94,79.77
698,Abohar,3,11.94,79.83
699,Amritsar,3,30.14,74.2
700,Barnala,3,31.64,74.87
701,Batala,3,30.39,75.54
702,Bathinda,3,31.82,75.21
703,Dhuri,3,30.17,74.97
704,Faridkot,3,30.37,75.87
705,Fazilka,3,30.68,74.74
706,Firozpur,3,30.41,74.02
707,Firozpur Cantonment,3,30.92,74.61
708,Gobindgarh,3,30.95,74.6
709,Gurdaspur,3,30.66,76.31
710,Hoshiarpur,3,32.04,75.4
711,Jagraon,3,31.53,75.91
712,Jalandhar,3,30.78,75.48
713,Kapurthala,3,31.33,75.57
714,Khanna,3,31.38,75.38
715,Kot Kapura,3,30.71,76.21
716,Ludhiana,3,30.59,74.8
717,Malaut,3,30.91,75.84
718,Maler Kotla,3,30.23,74.48
719,Mansa,3,30.54,75.87
720,Moga,3,29.98,75.39
721,Mohali,3,30.82,75.17
722,Pathankot,3,30.78,76.69
723,Patiala,3,32.27,75.64
724,Phagwara,3,30.32,76.39
725,Rajpura,3,31.22,75.76
726,Rupnagar,3,30.48,76.59
727,Samana,3,30.98,76.52
728,Sangrur,3,30.15,76.2
729,Sirhind,3,30.25,75.84
730,Sunam,3,30.65,76.38
731,Tarn Taran,3,30.13,75.8
732,Ajmer,8,31.45,74.92
733,Alwar,8,26.45,74.64
734,Balotra,8,27.56,76.6
735,Banswara,8,25.83,72.23
736,Baran,8,23.54,74.44
737,Bari,8,25.1,76.51
738,Barmer,8,26.65,77.6
739,Beawar,8,25.75,71.39
740,Bharatpur,8,26.1,74.3
741,Bhilwara,8,27.23,77.49
742,Bhiwadi,8,25.35,74.63
743,Bikaner,8,,
744,Bundi,8,28.03,73.32
745,Chittaurgarh,8,25.45,75.63
746,Chomun,8,24.89,74.63
747,Churu,8,27.17,75.72
748,Daosa,8,28.31,74.96
749,Dhaulpur,8,26.88,76.33
750,Didwana,8,26.7,77.87
751,Fatehpur,8,27.39,74.57
752,Sri Ganganagar,8,27.99,74.95
753,Gangapur,8,29.93,73.86
754,Hanumangarh,8,26.47,76.72
755,Hindaun,8,29.62,74.29
756,Jaipur,8,26.74,77.02
757,Jaisalmer,8,26.92,75.8
758,Jalor,8,26.92,70.9
759,Jhalawar,8,25.35,72.62
760,Jhunjhunun,8,24.6,76.15
761,Jodhpur,8,28.13,75.39
762,Karauli,8,26.29,73.02
763,Kishangarh,8,26.5,77.02
764,Kota,8,26.58,74.86
765,Kuchaman,8,25.18,75.83
766,Ladnun,8,27.15,74.85
767,Makrana,8,27.64,74.38
768,Nagaur,8,27.05,74.72
769,Nawalgarh,8,27.21,73.73
