id,name,type_id,harmonic_id,discount,mrp,unit,gst,description
274,Milk Condensed,1,1,50,725,Ltr,18,
275,Peppermint Powder,1,1,50,625,Kg,18,
276,Hajmola,1,1,50,1050,Ltr,18,
277,Falsa,1,1,50,700,Ltr,18,
278,Kesar Pista Spl.,1,1,50,3500,Ltr,18,
279,Vanilla No. 224,1,1,50,175,Ltr,18,
280,Milk Compound Super Powder,1,1,50,700,Kg,18,
281,Cardamom Super Powder,1,1,50,1000,Kg,18,
282,Red Chilli,1,1,50,700,Ltr,18,
283,Mawa Kulfi,1,1,50,1050,Ltr,18,
284,Pista Powder,1,1,50,750,Kg,18,
285,Cashew Nut Powder,1,1,50,1000,Kg,18,
286,Star Aniseed,1,1,50,1200,Ltr,18,
287,Coriander,1,1,50,3000,Ltr,18,
288,Malai Kulfi Powder,1,1,50,1125,Kg,18,
289,Rabadi Classic Powder,1,1,50,750,Kg,18,
290,Ajowan Oil AR,2,2,0,0,Kg,18,
291,Almond Oil AR,2,3,0,0,Ltr,5,
292,Anise Oil BP,2,6,0,0,Ltr,18,
293,Aniseed Oil,2,2,0,0,Kg,18,
294,Apricot Oil AR,2,2,0,0,Kg,18,
295,Arachis Oil AR,2,3,0,0,Ltr,5,
296,Aranda Oil ,2,3,0,0,Kg,5,
297,Badam Oil,2,3,0,0,Ltr,5,
298,Bhavchi Oil,2,3,0,0,Kg,5,
299,Camphor Oil,2,6,0,0,Kg,18,
300,Caraway Oil BP,2,6,0,0,Ltr,18,
301,Carvocrol AR,2,2,0,0,Kg,18,
302,Castor Oil AR,2,5,0,0,Kg,5,
303,Cedarwood  M,2,6,0,0,Kg,18,
304,Cedarwood Oil,2,6,0,0,Kg,18,
305,Chaul Moogra,2,2,0,0,Kg,18,
306,Clove Leaf AR,2,2,0,0,Kg,18,
307,Clove Leaf Oil Crude,2,2,0,0,Kg,18,
308,Clove Oil ,2,2,0,0,Kg,18,
309,Clove Oil AR,2,2,0,0,Kg,18,
310,Creosote Oil AR,2,2,0,0,Kg,18,
311,Cumin Oil 20,2,6,0,0,Kg,18,
312,Cumin Oil 40,2,6,0,0,Kg,18,
313,Cumin Oil AR,2,6,0,0,Kg,18,
314,Cumin Oil CP,2,6,0,0,Kg,18,
315,Devdar Oil AR,2,2,0,0,Kg,18,
316,Dill Oil,2,2,0,0,Kg,18,
317,Dill Oil AR,2,2,0,0,Kg,18,
318,Dill Oil BP,2,6,0,0,Ltr,18,
319,Eucalyptus Oil AR,2,2,0,0,Kg,18,
320,Fractionated Coconut Oil,2,2,0,0,Ltr,18,
321,Geranium Oil AR,2,2,0,0,Kg,18,
322,Green Tea Oil Rc,2,2,0,0,Kg,18,
323,Jaitoon Oil AR,2,2,0,0,Kg,18,
324,Jasmine Oil AR,2,2,0,0,Ltr,18,
325,Jojoba Oil AR,2,3,0,0,Kg,5,
326,Lavender Oil,2,2,0,0,Kg,18,
327,Lavender Oil AR,2,2,0,0,Kg,18,
328,Lemon Flavour Gol,2,2,0,0,Ltr,18,
329,Lemon Oil AR,2,2,0,0,Kg,18,
330,Lemon Oil C,2,2,0,0,Kg,18,
331,Lemon Oil CC,2,2,0,0,Kg,18,
332,Lemon Oil P,2,2,0,0,Kg,18,
333,Lemon Oil T/L,2,2,0,0,Kg,18,
334,Lime Oil ,2,2,0,0,Kg,18,
335,Lime Oil I,2,7,0,0,Kg,18,
336,Lime Oil M,2,2,0,0,Kg,18,
337,Lime M,2,2,0,0,Kg,18,
338,Lime Oil T/L,2,2,0,0,Kg,18,
339,Natural Wintergreen Oil,2,2,0,0,Kg,18,
340,Nilgiri Oil AR,2,2,0,0,Kg,18,
341,Nutmeg Oil CC,2,2,0,0,Lg,18,
342,Nutmeg Oil S,2,2,0,0,Ltr,18,
343,Oil Almond AR,2,8,0,0,Kg,5,
344,Oil Cinnamon AR,2,2,0,0,Kg,18,
345,Oil Clove AR,2,2,0,0,Ltr,18,
346,Oil Clove Leaf C,2,2,0,0,Kg,18,
347,Oil Eucalyptus,2,2,0,0,Ltr,18,
348,Oil Gandhapura  AR,2,2,0,0,Kg,18,
349,Oil Sesame,2,3,0,0,Kg,5,
350,Olive Oil RC,2,2,0,0,Kg,18,
351,Orange 5F,2,2,0,0,Kg,18,
352,Orange Oil CP,2,2,0,0,Kg,18,
353,Orange Oil T/L,2,2,0,0,Kg,18,
354,Peppermint Ka Phool,2,6,0,0,Kg,18,
355,Peppermint Oil,2,2,0,0,Kg,18,
356,Peppermint Oil AR,2,2,0,0,Kg,18,
357,Pudina Oil,2,2,0,0,Ltr,18,
358,Rosa Oil AR,2,2,0,0,Kg,18,
359,Rosemary Oil AR,2,2,0,0,Kg,18,
360,Rosemary Oil S,2,2,0,0,Kg,18,
361,Rusa Tel,2,2,0,0,Kg,18,
362,Sandalwood Oil,2,2,0,0,Kg,18,
363,Sesame AR,2,3,0,0,Kg,5,
364,Sesame Oil,2,3,0,0,Ltr,5,
365,Spearmint Oil AR,2,2,0,0,Kg,18,
366,Suva Ka Tel,2,2,0,0,Kg,18,
367,Sweet Almond Oil,2,3,0,0,Kg,5,
368,Tea Tree Oil Rc,2,2,0,0,Kg,18,
369,Turpentine Oil,2,9,0,0,Kg,18,
370,Wheatgerm Oil,2,3,0,0,Kg,5,
371,Wheatgerm Oil CP,2,3,0,0,Kg,5,
372,Wheatgerm Oil P,2,3,0,0,Kg,5,
373,Thymol AR,3,7,0,0,Kg,18,
374,Citral S,3,7,0,0,Kg,18,
375,Dipentene AR,3,7,0,0,Kg,18,
376,Gurjun Balsam AR,3,7,0,0,Ltr,18,
377,Guaiac Wood AR,3,7,0,0,Ltr,18,
378,Kapoor,3,7,0,0,Kg,18,
379,Carvone T,3,7,0,0,Kg,18,
380,Cinnamaldehyde AR,3,7,0,0,Kg,18,
381,Fragrance Wild Forest,3,7,0,0,Kg,18,
382,Comp 25,3,7,0,0,Kg,18,
383,Menthol AR,3,7,0,0,Kg,18,
384,Peppermint Terpene,3,7,0,0,Kg,18,
385,Lemongrass Oil,2,2,0,0,Ltr,18,
386,Citronella AR,2,2,0,0,Ltr,18,
,Mango (OB),3,1,0,0,Ltr,18,
,Milk (OB),3,1,0,0,Ltr,18,
,Coconut (OB),3,1,0,0,Ltr,18,
,Jeera (OB),3,1,0,0,Ltr,18,
,Desi Ghee (OB),3,1,0,0,Ltr,18,
,Almond Sweet (OB),3,1,0,0,Ltr,18,
,Citronella AR Oil,2,2,0,0,Ltr,18,
,Handwash 111,3,7,15.254,650,Ltr,18,
